Publication Year,,,Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,
name,count,,name,count,,name,count,,name,count,,name,count,
2025,2307,,true,8083,,Geochemistry and Geologic Mapping,901,,Universidade de São Paulo,1335,,article,9893,
2020,2271,,false,4762,,Solar Radiation and Photovoltaics,595,,Universidade Estadual de Campinas (UNICAMP),820,,book-chapter,1308,
2021,2122,,,,,Natural Language Processing Techniques,542,,Universidade Federal de Minas Gerais,734,,preprint,914,
2024,2086,,,,,Linguistic Studies and Language Acquisition,535,,Universidade Federal do Rio de Janeiro,566,,dataset,271,
2023,2081,,,,,Topic Modeling,509,,Universidade Federal de Pernambuco,547,,review,141,
2022,1978,,,,,AI in cancer detection,488,,Universidade Federal do Rio Grande do Sul,513,,dissertation,123,
,,,,,,Semantic Web and Ontologies,466,,Universidade Estadual Paulista (Unesp),431,,book,57,
,,,,,,Quantum Information and Cryptography,446,,Universidade Tecnológica Federal do Paraná,426,,peer-review,54,
,,,,,,Quantum Computing Algorithms and Architecture,431,,Universidade Federal de Santa Catarina,415,,paratext,24,
,,,,,,Neural Networks and Applications,429,,Universidade de Brasília,414,,editorial,16,
,,,,,,Anomaly Detection Techniques and Applications,421,,Pontifícia Universidade Católica do Rio de Janeiro,402,,erratum,14,
,,,,,,AI in Service Interactions,318,,Universidade Federal de São Carlos,386,,letter,13,
,,,,,,Imbalanced Data Classification Techniques,306,,Universidade Federal Fluminense,376,,other,12,
,,,,,,Data Stream Mining Techniques,300,,Federal Government of Brazil,365,,report,5,
,,,,,,Privacy-Preserving Technologies in Data,289,,Universidade Federal do Ceará,359,,,,
,,,,,,Machine Learning and Data Classification,268,,Ministry of Education,308,,,,
,,,,,,Sentiment Analysis and Opinion Mining,253,,Universidade Federal do Paraná,293,,,,
,,,,,,Metaheuristic Optimization Algorithms Research,243,,"Ministry of Science, Technology and Innovation",286,,,,
,,,,,,Advanced Software Engineering Methodologies,233,,Universidade Federal do Rio Grande do Norte,277,,,,
,,,,,,Hate Speech and Cyberbullying Detection,225,,Centre National de la Recherche Scientifique,262,,,,
,,,,,,Evolutionary Algorithms and Applications,224,,Universidade Federal da Bahia,243,,,,
,,,,,,Explainable Artificial Intelligence (XAI),209,,Universidade do Estado do Rio de Janeiro,234,,,,
,,,,,,Multi-Agent Systems and Negotiation,198,,Universidade Federal de Uberlândia,217,,,,
,,,,,,Reinforcement Learning in Robotics,193,,Universidade Federal Rural de Pernambuco,199,,,,
,,,,,,Fuzzy Logic and Control Systems,181,,Universidade Federal do Pará,196,,,,
,,,,,,"Logic, Reasoning, and Knowledge",178,,Universidade Federal de Juiz de Fora,193,,,,
,,,,,,Artificial Intelligence in Games,154,,Universidade Federal do ABC,186,,,,
,,,,,,Advanced Text Analysis Techniques,152,,Universidade Federal de Goiás,180,,,,
,,,,,,Coding theory and cryptography,147,,Universidade Federal de Alagoas,175,,,,
,,,,,,Machine Learning in Healthcare,143,,Pontifícia Universidade Católica do Paraná,172,,,,
,,,,,,Internet Traffic Analysis and Secure E-voting,136,,Universidade Federal de Santa Maria,170,,,,
,,,,,,"Logic, programming, and type systems",134,,Pontifícia Universidade Católica do Rio Grande do Sul,163,,,,
,,,,,,Bayesian Methods and Mixture Models,126,,Universidade Federal do Espírito Santo,154,,,,
,,,,,,Speech Recognition and Synthesis,125,,Universidade Federal de São Paulo,153,,,,
,,,,,,Computational Physics and Python Applications,125,,Universidade Federal de Ouro Preto,148,,,,
,,,,,,Advanced Clustering Algorithms Research,124,,Universidade de Pernambuco,144,,,,
,,,,,,Intelligent Tutoring Systems and Adaptive Learning,119,,Universidade Federal do Piauí,130,,,,
,,,,,,Adversarial Robustness in Machine Learning,114,,Universidade Federal da Paraíba,128,,,,
,,,,,,Cognitive Science and Mapping,101,,Universidade do Vale do Rio dos Sinos,121,,,,
,,,,,,Cryptography and Data Security,98,,Universidade Federal do Amazonas,121,,,,
,,,,,,Advanced Graph Neural Networks,98,,Universidade Federal de Campina Grande,120,,,,
